ID,Date,Location,Governorate,Chemical,Perpetrator,Number of Deaths,Number of Injuries,Number of Injuries (Range),Source
3,19-Mar-13,Damascus,Damascus,Unconfirmed,Unconfirmed,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
2,19-Mar-13,Khan al-Asal,Aleppo,Unconfirmed,Unconfirmed,25,110+,20-100,http://undocs.org/A/68/663
2,19-Mar-13,Khan al-Asal,Aleppo,Sarin,Unconfirmed,20,80+,20-100,https://www.bellingcat.com/news/mena/2015/04/27/chemical-crisis-a-timeline-of-cw-attacks-in-syrias-civil-war/
2,19-Mar-13,Khan al-Asal,Aleppo,Same Hallmarks' as Sarin,Unconfirmed,-,-,20-100,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
4,13-Apr-13,Sheikh Maqsoud,Aleppo,Unconfirmed,Unconfirmed,-,-,Unknown,http://undocs.org/A/68/663
4,13-Apr-13,Sheikh Maqsoud,Aleppo,Unspecified,Unconfirmed,-,-,Unknown,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
5,29-Apr-13,Saraqeb,Idlib,Sarin,Syrian government,1,19,< 20,https://www.bellingcat.com/news/mena/2015/04/27/chemical-crisis-a-timeline-of-cw-attacks-in-syrias-civil-war/
5,29-Apr-13,Saraqeb,Idlib,Unconfirmed,Syrian government,-,-,< 20,http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
5,29-Apr-13,Saraqeb,Idlib,Sarin,Syrian government,1,23,< 20,http://undocs.org/A/68/663
7,21-Aug-13,Eastern Ghouta,Damascus,Sarin,Syrian government,-,-,"> 1,000",http://undocs.org/A/67/997
7,21-Aug-13,Eastern Ghouta,Damascus,Sarin,Syrian government,"1,500","5,000","> 1,000",https://www.bellingcat.com/news/mena/2015/04/27/chemical-crisis-a-timeline-of-cw-attacks-in-syrias-civil-war/
7,21-Aug-13,Eastern Ghouta,Damascus,Sarin,Syrian government,734,"3,600","> 1,000",https://www.hrw.org/report/2013/09/10/attacks-ghouta/analysis-alleged-use-chemical-weapons-syria
7,21-Aug-13,Eastern Ghouta,Damascus,Sarin,Syrian government,Mass Casualties,Unspecified,"> 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
6,21-Aug-13,Western Ghouta,Damascus,Sarin,Syrian government,-,-,Unknown,http://undocs.org/A/67/997
6,21-Aug-13,Western Ghouta,Damascus,Sarin,Syrian government,80,"3,600",Unknown,https://www.hrw.org/report/2013/09/10/attacks-ghouta/analysis-alleged-use-chemical-weapons-syria
8,24-Aug-13,Jobar,Damascus,Unconfirmed,Unconfirmed,-,4,< 20,http://undocs.org/A/68/663
9,25-Aug-13,Ashrafiyat Sahnaya,Damascus,Unconfirmed,Unconfirmed,-,5,< 20,http://undocs.org/A/68/663
10,10-Apr-14,Kafr Zita,Hama,Chlorine,Unconfirmed,-,12,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
11,11-Apr-14,Kafr Zita,Hama,Chlorine,Syrian government,3,100,"100 - 1,000",https://www.bellingcat.com/news/mena/2015/04/27/chemical-crisis-a-timeline-of-cw-attacks-in-syrias-civil-war/
11,11-Apr-14,Kafr Zita,Hama,Chlorine,Syrian government,2,207,"100 - 1,000",https://www.hrw.org/news/2014/05/13/syria-strong-evidence-government-used-chemicals-weapon
11,11-Apr-14,Kafr Zita,Hama,Chlorine,Syrian government,-,-,"100 - 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
11,11-Apr-14,Kafr Zita,Hama,Chlorine,Syrian government,-,5,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
11,11-Apr-14,Kafr Zita,Hama,-,Syrian government,,,"100 - 1,000",JIM 3
12,12-Apr-14,al-Temana,Idlib,Chlorine,Syrian government,-,25,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
12,12-Apr-14,al-Temana,Idlib,Chlorine,Syrian government,4,150,"100 - 1,000",https://www.hrw.org/news/2014/05/13/syria-strong-evidence-government-used-chemicals-weapon
13,12-Apr-14,Kafr Zita,Hama,Chlorine,Syrian government,-,4,"100 - 1,000",https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
13,12-Apr-14,"Kafr Zita & al-Temana
",Hama,Unspecified,Syrian government,-,-,"100 - 1,000",http://www.ohchr.org/SiteCollectionImages/Bodies/HRCouncil/IICISyria/COISyria_ChemicalWeapons.jpg
14,14-Apr-14,Halfaya,Hama,Chlorine,Unconfirmed,-,5,< 20,https://www.opcw.org/fileadmin/OPCW/Fact_Finding_Mission/s-1212-2014_e_.pdf
